公司名称,公司编号,公司规模,公司类型,工作城市,工作路段,学历需求,招募类型,工作/福利,工作类型,福利
天九共享控股集团,CZ475537510,1000-9999人,民营,北京-朝阳区,北苑,本科,全职,"健身俱乐部,五险一金,绩效奖金,包吃,带薪年假,定期体检,员工旅游,节日福利","软件/互联网开发/系统集成,互联网软件工程师","健身俱乐部,五险一金,绩效奖金,包吃,带薪年假"
北京信果科技有限公司,CZ524386120,100-499人,民营,北京-海淀区,魏公村,大专,全职,"周末双休,五险一金","软件/互联网开发/系统集成,软件研发工程师","周末双休,五险一金"
北京华胜鸣天科技有限公司,CZ120037760,100-499人,民营,天津-东丽区,华明,本科,全职,"Java,J2EE,周末双休,带薪年假,五险一金,包住,绩效奖金,交通补助,项目奖金,带团队","软件/互联网开发/系统集成,软件研发工程师","周末双休,带薪年假,五险一金,包住,绩效奖金"
北京友通上昊科技有限公司,CZ206646210,100-499人,合资,北京,马驹桥,本科,全职,"C++,多线程,网络,五险一金,周末双休,员工旅游,带薪年假,交通补助,定期体检,节日福利,试用期全额","软件/互联网开发/系统集成,高级软件工程师","五险一金,周末双休,员工旅游,带薪年假,交通补助"
湖南凌翔磁浮科技有限责任公司,CZ484830330,20-99人,民营,长沙,芙蓉区政府,本科,全职,"餐补,带薪年假,定期体检,节日福利,五险一金,年底双薪,加班补助,绩效奖金","软件/互联网开发/系统集成,软件研发工程师","餐补,带薪年假,定期体检,节日福利,五险一金"
浪潮集团有限公司,CZ120143600,10000人以上,国企,北京,上地,本科,全职,"五险一金,年底双薪,补充医疗保险,定期体检","软件/互联网开发/系统集成,系统架构设计师","五险一金,年底双薪,补充医疗保险,定期体检"
广西南宁市晨启科技有限责任公司,CZ846984170,20-99人,股份制企业,南宁,安吉,大专,全职,"机器学习,数据库,Winform,C,C#/.NET,Java,五险一金,绩效奖金,全勤奖,通讯补助,带薪年假,定期团建,周末双休,节日福利","软件/互联网开发/系统集成,软件工程师","五险一金,绩效奖金,全勤奖,通讯补助,带薪年假"
山西戴德测控技术有限公司,CZ338129310,20-99人,股份制企业,太原-小店区,未添加路段,本科,全职,"五险一金,绩效奖金,加班补助,交通补助,餐补,定期体检,员工旅游,节日福利","软件/互联网开发/系统集成,软件研发工程师","五险一金,绩效奖金,加班补助,交通补助,餐补"
北京朗迪锋科技有限公司,CZ145269460,20-99人,民营,北京-丰台区,花乡,本科,全职,"五险一金,餐补,通讯补助,带薪年假,弹性工作,定期体检,节日福利,补充医疗保险","软件/互联网开发/系统集成,软件工程师","五险一金,餐补,通讯补助,带薪年假,弹性工作"
成都光航信科技有限公司,CZ241863030,20人以下,民营,成都,红光,本科,全职,"嵌入式,C++,五险一金,包住,绩效奖金,健身俱乐部,年终分红,股票期权,加班补助","软件/互联网开发/系统集成,软件工程师","五险一金,包住,绩效奖金,健身俱乐部,年终分红"
广东六丰能源服务有限公司,CZ336549430,20-99人,民营,珠海,吉大,本科,全职,"五险一金,年底双薪,带薪年假,定期体检,员工旅游","软件/互联网开发/系统集成,软件研发工程师","五险一金,年底双薪,带薪年假,定期体检,员工旅游"
浪潮集团有限公司,CZ120143600,10000人以上,国企,北京-海淀区,西北旺,本科,全职,"五险一金,绩效奖金,加班补助,全勤奖,交通补助,通讯补助,弹性工作,节日福利","软件/互联网开发/系统集成,高级软件工程师","五险一金,绩效奖金,加班补助,全勤奖,交通补助"
中船重工(武汉)凌久电子有限责任公司,CZ529207620,100-499人,国企,武汉,光谷,本科,全职,"五险一金,交通补助,餐补,带薪年假,补充医疗保险,定期体检,绩效奖金,节日福利","软件/互联网开发/系统集成,嵌入式软件开发","五险一金,交通补助,餐补,带薪年假,补充医疗保险"
南京众点医疗科技有限公司,CZ649450120,20-99人,民营,南京-江宁区,秣陵,本科,全职,"五险一金,绩效奖金,交通补助,餐补,通讯补助,补充医疗保险,高温补贴,节日福利","软件/互联网开发/系统集成,软件研发工程师","五险一金,绩效奖金,交通补助,餐补,通讯补助"
西安石文软件有限公司,CZ141780330,100-499人,民营,西安,科技二路,本科,全职,"五险一金,周末双休,带薪年假,节日福利,绩效奖金,通讯补助,年终分红","软件/互联网开发/系统集成,软件研发工程师","五险一金,周末双休,带薪年假,节日福利,绩效奖金"
山谷网安科技股份有限公司,CZ148527370,100-499人,股份制企业,郑州,未添加路段,本科,全职,"每年多次调薪,五险一金,年底双薪,绩效奖金,通讯补助,定期体检,员工旅游,节日福利","软件/互联网开发/系统集成,高级软件工程师","每年多次调薪,五险一金,年底双薪,绩效奖金,通讯补助"
天翼视讯传媒有限公司,CZ357866620,100-499人,国企,上海,金桥,本科,全职,"C++,C,五险一金,绩效奖金,餐补,通讯补助,带薪年假,补充医疗保险,定期体检,节日福利","软件/互联网开发/系统集成,高级软件工程师","五险一金,绩效奖金,餐补,通讯补助,带薪年假"
瑞斯康达科技发展股份有限公司,CZ000433020,1000-9999人,上市公司,北京-海淀区,西北旺,本科,全职,"五险一金,补充医疗保险,定期体检,带薪年假,通讯补助,餐补,免费班车","软件/互联网开发/系统集成,高级软件工程师","五险一金,补充医疗保险,定期体检,带薪年假,通讯补助"
重庆轻足迹电子有限公司,CZ348294980,20-99人,民营,重庆,南坪,本科,全职,"五险一金,年底双薪,绩效奖金,餐补,带薪年假,员工旅游,无试用期,带团队","软件/互联网开发/系统集成,软件工程师","五险一金,年底双薪,绩效奖金,餐补,带薪年假"
江苏南大先腾信息产业股份有限公司,CZ131936220,100-499人,上市公司,南京-雨花台区,安德门,本科,全职,"五险一金,绩效奖金,交通补助,餐补,带薪年假,定期体检,免费班车,节日福利","软件/互联网开发/系统集成,高级软件工程师","五险一金,绩效奖金,交通补助,餐补,带薪年假"
蓝盾信息安全技术股份有限公司,CZ136106360,1000-9999人,上市公司,广州,未添加路段,本科,全职,"C,C++,内核开发,绩效奖金,加班补助,餐补,带薪年假,高温补贴,节日福利,交通补助,五险一金","软件/互联网开发/系统集成,C语言开发工程师","绩效奖金,加班补助,餐补,带薪年假,高温补贴"
天津市拓甫网络科技开发有限公司,CZ589733420,100-499人,民营,天津,北仓,大专,全职,"需求分析,产品设计,产品策划,用户研究,五险一金,年底双薪,采暖补贴,带薪年假,员工旅游,高温补贴,节日福利,餐补","软件/互联网开发/系统集成,需求工程师","五险一金,年底双薪,采暖补贴,带薪年假,员工旅游"
华远智德(北京)科技有限公司,CZ773821670,20-99人,民营,广州,东圃,不限,全职,"数据库,数据分析,五险一金,周末双休,带薪年假,弹性工作,绩效奖金,年底双薪,14薪","软件/互联网开发/系统集成,软件工程师","五险一金,周末双休,带薪年假,弹性工作,绩效奖金"
上海安硕信息技术股份有限公司,CZ000604830,10000人以上,上市公司,北京,和平里,本科,全职,"节日福利,五险一金,绩效奖金,股票期权,交通补助,带薪年假,定期体检,员工旅游","软件/互联网开发/系统集成,高级软件工程师","节日福利,五险一金,绩效奖金,股票期权,交通补助"
天九共享控股集团,CZ475537510,1000-9999人,民营,北京,北苑,本科,全职,,"软件/互联网开发/系统集成,互联网软件工程师",
浪潮集团有限公司,CZ120143600,10000人以上,国企,济南,解放东路,本科,全职,"节日福利,五险一金,通讯补助,定期体检,绩效奖金","软件/互联网开发/系统集成,软件工程师","节日福利,五险一金,通讯补助,定期体检,绩效奖金"
威斯盾物联网科技(无锡)有限公司,CZ843099180,20-99人,民营,无锡,华庄,本科,全职,"C#/.NET,五险一金,绩效奖金,加班补助,包住,交通补助,通讯补助,周末双休,带薪年假","软件/互联网开发/系统集成,高级软件工程师","五险一金,绩效奖金,加班补助,包住,交通补助"
卓拓维(上海)虚拟现实信息科技有限公司,CZ476527930,20-99人,合资,上海,南京西路,本科,全职,"五险一金,年底双薪,带薪年假,弹性工作,定期体检","软件/互联网开发/系统集成,软件工程师","五险一金,年底双薪,带薪年假,弹性工作,定期体检"
甘肃华夏软件有限公司,CZ760459650,20-99人,民营,兰州,静宁路,本科,全职,"五险一金,绩效奖金,节日福利,员工旅游,定期体检","软件/互联网开发/系统集成,软件工程师","五险一金,绩效奖金,节日福利,员工旅游,定期体检"
北京凯博瑞石油科技有限公司,CZ160817020,20-99人,民营,西安-未央区,张家堡,大专,全职,"年底双薪,五险一金,带薪年假,定期体检,周末双休,餐补,加班补助","软件/互联网开发/系统集成,软件工程师","年底双薪,五险一金,带薪年假,定期体检,周末双休"
浪潮集团有限公司,CZ120143600,10000人以上,国企,郑州,东建材,本科,全职,"节日福利,五险一金,年底双薪,绩效奖金,餐补,带薪年假,补充医疗保险,项目奖金","软件/互联网开发/系统集成,软件研发工程师","节日福利,五险一金,年底双薪,绩效奖金,餐补"
北京中安智能信息科技有限公司,CZ479611230,20-99人,民营,南京-江宁区,百家湖,硕士,全职,"五险一金,年底双薪,绩效奖金,全勤奖,带薪年假,定期体检,员工旅游,高温补贴","软件/互联网开发/系统集成,算法工程师","五险一金,年底双薪,绩效奖金,全勤奖,带薪年假"
福建顶点软件股份有限公司,CZ000212300,500-999人,股份制企业,福州,五凤,本科,全职,"五险一金,餐补,定期体检,员工旅游,节日福利","软件/互联网开发/系统集成,高级软件工程师","五险一金,餐补,定期体检,员工旅游,节日福利"
上海驰网工业科技有限公司,CZ530220020,20-99人,股份制企业,常州-武进区,未添加路段,本科,全职,"五险一金,全勤奖,餐补,节日福利,加班补助,带薪年假,绩效奖金,周末双休","软件/互联网开发/系统集成,软件工程师","五险一金,全勤奖,餐补,节日福利,加班补助"
焦点科技股份有限公司,CZ120139050,1000-9999人,上市公司,南京,泰山,本科,全职,"节日福利,五险一金,绩效奖金,包吃,带薪年假,定期体检,免费班车,员工旅游","软件/互联网开发/系统集成,软件工程师","节日福利,五险一金,绩效奖金,包吃,带薪年假"
广东泓大资产管理有限公司,CZ730419190,20人以下,民营,广州,沙河,本科,全职,"C++,MySQL,Qt,Linux,五险一金,年底双薪,员工旅游,带薪年假,包吃,节日福利,周末双休","软件/互联网开发/系统集成,C语言开发工程师","五险一金,年底双薪,员工旅游,带薪年假,包吃"
安徽省刀锋网络科技有限公司郑州分公司,CZ440253680,500-999人,股份制企业,郑州-高新区,秦岭路,不限,全职,"五险一金,年底双薪,全勤奖,带薪年假,弹性工作,员工旅游,节日福利,年终分红","软件/互联网开发/系统集成,高级软件工程师","五险一金,年底双薪,全勤奖,带薪年假,弹性工作"
